release_tag,published_date,macos_arm64,macos_x64,linux_appimage,linux_deb,linux_rpm,windows_exe,windows_msi,total
v0.10.0,2026-02-22,35,2,11,5,1,2,6,62
v0.9.1,2026-02-15,16,1,4,1,1,3,6,32
v0.9.0,2026-02-14,2,1,6,1,1,1,1,13
v0.8.2,2026-02-12,0,0,1,0,0,0,0,1
v0.8.1,2026-02-09,2,2,0,1,1,0,3,9
v0.8.0,2026-02-09,1,1,0,1,1,0,1,5
v0.7.0,2026-02-09,1,1,0,0,0,0,0,2
v0.6.0,2026-01-25,13,8,0,0,0,0,0,21
v0.4.0,2026-01-24,3,1,0,0,0,0,0,4
v0.3.0,2026-01-20,4,0,0,0,0,0,0,4
2026-03-01,v0.10.0,35,2,11,5,1,2,6,153
